2023-12-17 10:21:30,432 INFO    StreamThr :33233 [internal.py:wandb_internal():86] W&B internal server running at pid: 33233, started at: 2023-12-17 10:21:30.432571
2023-12-17 10:21:30,433 DEBUG   HandlerThread:33233 [handler.py:handle_request():146] handle_request: status
2023-12-17 10:21:30,434 INFO    WriterThread:33233 [datastore.py:open_for_write():85] open: /home/kajetan/tensorflow_fundamentals/wandb/run-20231217_102125-2j6hkzbb/run-2j6hkzbb.wandb
2023-12-17 10:21:30,435 DEBUG   SenderThread:33233 [sender.py:send():382] send: header
2023-12-17 10:21:30,435 DEBUG   SenderThread:33233 [sender.py:send():382] send: run
2023-12-17 10:21:30,931 INFO    SenderThread:33233 [dir_watcher.py:__init__():211] watching files in: /home/kajetan/tensorflow_fundamentals/wandb/run-20231217_102125-2j6hkzbb/files
2023-12-17 10:21:30,931 INFO    SenderThread:33233 [sender.py:_start_run_threads():1136] run started: 2j6hkzbb with start time 1702804889.491768
2023-12-17 10:21:30,938 DEBUG   HandlerThread:33233 [handler.py:handle_request():146] handle_request: check_version
2023-12-17 10:21:30,938 DEBUG   SenderThread:33233 [sender.py:send_request():409] send_request: check_version
2023-12-17 10:21:31,156 DEBUG   HandlerThread:33233 [handler.py:handle_request():146] handle_request: run_start
2023-12-17 10:21:31,156 DEBUG   HandlerThread:33233 [system_info.py:__init__():32] System info init
2023-12-17 10:21:31,156 DEBUG   HandlerThread:33233 [system_info.py:__init__():47] System info init done
2023-12-17 10:21:31,156 INFO    HandlerThread:33233 [system_monitor.py:start():194] Starting system monitor
2023-12-17 10:21:31,157 INFO    SystemMonitor:33233 [system_monitor.py:_start():158] Starting system asset monitoring threads
2023-12-17 10:21:31,157 INFO    HandlerThread:33233 [system_monitor.py:probe():214] Collecting system info
2023-12-17 10:21:31,157 INFO    SystemMonitor:33233 [interfaces.py:start():190] Started cpu monitoring
2023-12-17 10:21:31,158 INFO    SystemMonitor:33233 [interfaces.py:start():190] Started disk monitoring
2023-12-17 10:21:31,158 INFO    SystemMonitor:33233 [interfaces.py:start():190] Started gpu monitoring
2023-12-17 10:21:31,158 INFO    SystemMonitor:33233 [interfaces.py:start():190] Started memory monitoring
2023-12-17 10:21:31,159 INFO    SystemMonitor:33233 [interfaces.py:start():190] Started network monitoring
2023-12-17 10:21:31,164 DEBUG   HandlerThread:33233 [system_info.py:probe():196] Probing system
2023-12-17 10:21:31,164 DEBUG   HandlerThread:33233 [system_info.py:_probe_git():181] Probing git
2023-12-17 10:21:31,169 DEBUG   HandlerThread:33233 [system_info.py:_probe_git():189] Probing git done
2023-12-17 10:21:31,169 DEBUG   HandlerThread:33233 [system_info.py:probe():244] Probing system done
2023-12-17 10:21:31,169 DEBUG   HandlerThread:33233 [system_monitor.py:probe():223] {'os': 'Linux-6.5.0-14-generic-x86_64-with-glibc2.38', 'python': '3.11.5', 'heartbeatAt': '2023-12-17T09:21:31.164410', 'startedAt': '2023-12-17T09:21:25.099514', 'docker': None, 'cuda': None, 'args': (), 'state': 'running', 'program': 'tensorflow_fundamentals/02_neural_network_classification_with_tensorflow.ipynb', 'codePathLocal': None, 'root': '/home/kajetan/tensorflow_fundamentals', 'git': {'remote': 'https://github.com/KajetanFrackowiak/tensorflow_fundamentals.git', 'commit': 'acf8d4dd97e7d9ae32c4acfeaf59fceda99afe93'}, 'email': 'kajtek.gdynia@gmail.com', 'host': 'kajetan-MS-7845', 'username': 'kajetan', 'executable': '/home/kajetan/anaconda3/bin/python', 'cpu_count': 4, 'cpu_count_logical': 8, 'cpu_freq': {'current': 3.34375, 'min': 800.0, 'max': 3900.0}, 'cpu_freq_per_core': [{'current': 3.7, 'min': 800.0, 'max': 3900.0}, {'current': 3.7, 'min': 800.0, 'max': 3900.0}, {'current': 3.699, 'min': 800.0, 'max': 3900.0}, {'current': 2.592, 'min': 800.0, 'max': 3900.0}, {'current': 3.7, 'min': 800.0, 'max': 3900.0}, {'current': 3.7, 'min': 800.0, 'max': 3900.0}, {'current': 3.702, 'min': 800.0, 'max': 3900.0}, {'current': 3.7, 'min': 800.0, 'max': 3900.0}], 'disk': {'/': {'total': 228.59531021118164, 'used': 197.23864364624023}}, 'gpu': 'NVIDIA GeForce GTX 1080', 'gpu_count': 1, 'gpu_devices': [{'name': 'NVIDIA GeForce GTX 1080', 'memory_total': 8589934592}], 'memory': {'total': 15.551769256591797}}
2023-12-17 10:21:31,169 INFO    HandlerThread:33233 [system_monitor.py:probe():224] Finished collecting system info
2023-12-17 10:21:31,169 INFO    HandlerThread:33233 [system_monitor.py:probe():227] Publishing system info
2023-12-17 10:21:31,169 DEBUG   HandlerThread:33233 [system_info.py:_save_pip():52] Saving list of pip packages installed into the current environment
2023-12-17 10:21:31,169 DEBUG   HandlerThread:33233 [system_info.py:_save_pip():68] Saving pip packages done
2023-12-17 10:21:31,169 DEBUG   HandlerThread:33233 [system_info.py:_save_conda():75] Saving list of conda packages installed into the current environment
2023-12-17 10:21:31,933 INFO    Thread-50 :33233 [dir_watcher.py:_on_file_created():271] file/dir created: /home/kajetan/tensorflow_fundamentals/wandb/run-20231217_102125-2j6hkzbb/files/conda-environment.yaml
2023-12-17 10:21:31,933 INFO    Thread-50 :33233 [dir_watcher.py:_on_file_created():271] file/dir created: /home/kajetan/tensorflow_fundamentals/wandb/run-20231217_102125-2j6hkzbb/files/requirements.txt
